French,English,learnt
partie,part,0
histoire,history,0
chercher,search,0
seulement,only,0
police,police,0
pensais,thought,0
aide,help,0
demande,request,0
genre,kind,0
mois,month,0
frère,brother,0
laisser,let,0
car,because,0
mettre,to put,0
aucun,no,0
laisse,leash,0
eux,them,0
ville,city,0
chaque,each,0
parlé,speak,0
arrivé,come,0
devrait,should,0
bébé,baby,0
longtemps,long time,0
heures,hours,0
vont,will,0
pendant,while,0
revoir,meet again,0
aucune,any,0
place,square,0
parle,speak,0
compris,understood,0
savais,knew,0
étaient,were,0
attention,Warning,0
voici,here is,0
pourrais,could,0
affaire,case,0
donner,give,0
type,type,0
leurs,their,0
donné,given,0
train,train,0
corps,body,0
endroit,place,0
yeux,eyes,0
façon,way,0
écoute,listen,0
dont,whose,0
trouve,find,0
premier,first,0
perdu,lost,0
main,hand,0
première,first,0
côté,side,0
pouvoir,power,0
vieux,old,0
sois,be,0
tiens,here,0
matin,morning,0
tellement,so much,0
enfant,child,0
point,point,0
venu,came,0
suite,after,0
pardon,sorry,0
venez,come,0
devant,in front of,0
vers,towards,0
minutes,minutes,0
demandé,request,0
chambre,bedroom,0
mis,placed,0
belle,beautiful,0
droit,law,0
aimerais,would like to,0
aujourd'hui,today,0
mari,husband,0
cause,cause,0
enfin,finally,0
espère,hope,0
eau,water,0
attendez,Wait,0
parti,left,0
nouvelle,new,0
boulot,job,0
arrêter,Stop,0
dirait,would say,0
terre,Earth,0
compte,account,0
donne,given,0
loin,far,0
fin,end,0
croire,believe,0
chérie,sweetheart,0
gros,large,0
plutôt,rather,0
aura,will have,0
filles,girls,0
jouer,to play,0
bureau,office,0
